,Crime Type,Loss Amount,state,year,url
0,419/Overpayment,299145,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1,Advanced Fee,763289,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
2,Auction,145638,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
3,BEC/EAC,1739162,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
4,Charity,910,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
5,Civil Matter,29398,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
6,Confidence Fraud/Romance,1660271,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
7,Corporate Data Breach,20080,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
8,Credit Card Fraud,293019,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
9,Crimes Against Children,14600,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
10,Criminal Forums,0,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
11,Denial of Service,35,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
12,Employment,244906,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
13,Extortion,80659,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
14,Gambling,0,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
15,Government Impersonation,59148,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
16,Hacktivist,0,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
17,Harassment/Threats of Violence,50859,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
18,,,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
19,Descriptors*,,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
20,Social Media,308015,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
21,"*These descriptors relate to the medium or tool used to facilitate the crime, and are used by the IC3 for tracking purposes only. They are available only after another crime type has been selected.",,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
22,Health Care Related,290,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
23,IPR/Copyright and Counterfeit,27937,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
24,Identity Theft,372269,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
25,Investment,237630,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
26,Lottery/Sweepstakes,109757,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
27,Malware/Scareware,6122,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
28,Misrepresentation,63936,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
29,No Lead Value,0,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
30,Non-payment/Non-Delivery,1269330,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
31,Other,65343,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
32,Personal Data Breach,619807,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
33,Phishing/Vishing/Smishing/Pharming,412604,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
34,Ransomware,5001,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
35,Re-shipping,2611,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
36,Real Estate/Rental,107620,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
37,Tech Support,90738,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
38,Terrorism,0,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
39,Virus,1778,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
40,,,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
42,Virtual Currency,4090,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
44,419/Overpayment,174265,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
45,Advanced Fee,341753,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
46,Auction,97085,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
47,BEC/EAC,590221,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
48,Charity,0,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
49,Civil Matter,2200,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
50,Confidence Fraud/Romance,965946,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
51,Corporate Data Breach,77194,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
52,Credit Card Fraud,365336,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
