,Crime Type,Subject Count,state,year,url
1,419/Overpayment,105,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
2,Advanced Fee,82,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
3,Auction,112,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
4,BEC/EAC,36,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
5,Charity,0,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
6,Civil Matter,5,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
7,Confidence Fraud/Romance,75,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
8,Corporate Data Breach,4,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
9,Credit Card Fraud,71,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
10,Crimes Against Children,7,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
11,Criminal Forums,0,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
12,Denial of Service,1,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
13,Employment,49,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
14,Extortion,27,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
15,Gambling,1,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
16,Government Impersonation,15,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
17,Hacktivist,1,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
18,Harassment/Threats of Violence,89,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
19,,,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
20,Descriptors*,,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
21,Social Media,116,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
22,"*These descriptors relate to the medium or tool used to facilitate the crime, and are used by the IC3 for tracking purposes only. They are available only after another crime type has been selected.",,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1,Health Care Related,4,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
2,IPR/Copyright and Counterfeit,6,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
3,Identity Theft,49,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
